,Estimated position X,Estimated position Y,Actual position X,Actual position Y,,,Squared Error x (m),Squared Error y (m),Error % (x),Error % (y),,Combined Error (m)
,0.2125,0.195,0.2,0.2,,,0.00015625,0.000025,0.078125,0.0125,,0.013462912
,0.125,0.465,0.1,0.4,,,0.000625,0.004225,0.625,1.05625,,0.069641941
,0.09,0.46,0.1,0.4,,,0.0001,0.0036,0.1,0.9,,0.060827625
,0.185,0.3225,0.2,0.3,,,0.000225,0.00050625,0.1125,0.16875,,0.027041635
Bad reading,0,0.5,0.3,0.2,,,0.09,0.09,30,45,,0.424264069
,0.32,0.1975,0.3,0.2,,,0.0004,6.25E-06,0.133333333,0.003125,,0.020155644
,0.4175,0.14,0.4,0.1,,,0.00030625,0.0016,0.0765625,1.6,,0.043660623
,0.52,0.065,0.5,0,,,0.0004,0.004225,0.08,#DIV/0!,,0.068007353
,0.6075,0.11,0.6,0.1,,,5.625E-05,1E-04,0.009375,0.1,,0.0125
,0.726667,0.263333,0.7,0.2,,,0.000711129,0.004011069,0.101589841,2.005534445,,0.068718249
,0.71,0.27,0.8,0.3,,,0.0081,0.0009,1.0125,0.3,,0.09486833
Bad reading,0,0.5,0.4,0.25,,,0.16,0.0625,40,25,,0.471699057
,0.7375,0.2675,0.8,0.3,,,0.00390625,0.00105625,0.48828125,0.352083333,,0.070445014
,0.6375,0.3975,0.7,0.4,,,0.00390625,6.25E-06,0.558035714,0.0015625,,0.06254998
,0.59,0.5,0.6,0.5,,,0.0001,0,0.016666667,0,,0.01
